Point,Northing,Easting,Elevation,Code,elev_m,elev_ft
PT102,5158009.491,297158.421,1972.372047,TH,601.179,1972.372047
PT103,5158008.113,297158.132,1972.565617,TH,601.238,1972.565617
PT104,5158006.694,297157.225,1972.604987,TH,601.25,1972.604987
PT105,5158005.096,297157.343,1973.041339,TH,601.383,1973.041339
PT106,5158003.316,297158.169,1972.965879,TH,601.36,1972.965879
PT107,5158001.67,297158.851,1973.08727,TH,601.397,1973.08727
PT108,5158000.399,297159.523,1972.965879,TH,601.36,1972.965879
PT109,5157999.002,297160.091,1973.274278,TH,601.454,1973.274278
PT110,5157997.676,297161.031,1973.379265,TH,601.486,1973.379265
PT111,5157996.612,297161.826,1973.143045,TH,601.414,1973.143045
PT112,5157994.588,297163.681,1973.622047,TH,601.56,1973.622047
PT113,5157992.78,297165.602,1974.005906,TH,601.677,1974.005906
PT114,5157991.846,297166.801,1974.074803,TH,601.698,1974.074803
PT115,5157990.715,297168.131,1974.058399,TH,601.693,1974.058399
PT116,5157990.046,297170.579,1974.232283,TH,601.746,1974.232283
PT117,5157990.085,297171.869,1973.628609,TH,601.562,1973.628609
PT118,5157990.274,297174.039,1973.270997,TH,601.453,1973.270997
PT119,5157990.026,297175.516,1973.156168,TH,601.418,1973.156168
PT120,5157990.197,297177.256,1973.005249,TH,601.372,1973.005249
PT121,5157990.209,297178.591,1972.775591,TH,601.302,1972.775591
PT122,5157990.315,297179.665,1972.395013,TH,601.186,1972.395013
PT123,5157990.012,297180.958,1971.981627,TH,601.06,1971.981627
PT124,5157988.82,297182.295,1972.385171,TH,601.183,1972.385171
PT125,5157987.759,297183.153,1972.470472,TH,601.209,1972.470472
PT126,5157986.117,297183.734,1972.985564,TH,601.366,1972.985564
PT127,5157984.479,297184.344,1973.054462,TH,601.387,1973.054462
PT128,5157983.183,297184.826,1973.172572,TH,601.423,1973.172572
PT129,5157981.357,297185.334,1972.61811,TH,601.254,1972.61811
PT130,5157979.815,297185.436,1972.457349,TH,601.205,1972.457349
PT131,5157978.278,297185.286,1972.362205,TH,601.176,1972.362205
PT132,5157975.672,297184.73,1972.290026,TH,601.154,1972.290026
PT133,5157973.996,297184.026,1972.349081,TH,601.172,1972.349081
PT134,5157972.548,297183.551,1972.290026,TH,601.154,1972.290026
PT135,5157970.364,297182.412,1972.362205,TH,601.176,1972.362205
PT136,5157968.826,297180.752,1972.066929,TH,601.086,1972.066929
