Point,Northing,Easting,Elevation,Station,Code,XSName,elev_m,elev_ft
PT1,5158002.626,297149.056,1985.324803,0,LB,XS01,605.127,1985.324803
PT2,5158003.435,297150.565,1985.173885,1.712,LB,XS01,605.081,1985.173885
PT3,5158003.746,297151.524,1984.137139,2.72,LB,XS01,604.765,1984.137139
PT4,5158003.691,297152.03,1982.060367,3.229,LB,XS01,604.132,1982.060367
PT5,5158003.711,297152.608,1980.400262,3.808,LB,XS01,603.626,1980.400262
PT6,5158004.043,297153.393,1979.048556,4.66,LB,XS01,603.214,1979.048556
PT7,5158004.292,297154.049,1978.192257,5.362,LB,XS01,602.953,1978.192257
PT8,5158004.272,297154.233,1977.34252,5.547,LB,XS01,602.694,1977.34252
PT9,5158004.247,297154.562,1976.817585,5.877,LB,XS01,602.534,1976.817585
PT10,5158004.226,297154.718,1975.11811,6.034,LB,XS01,602.016,1975.11811
PT11,5158004.305,297154.963,1975.262467,6.292,LB,XS01,602.06,1975.262467
PT12,5158004.396,297155.092,1973.861549,6.449,WSE,XS01,601.633,1973.861549
PT13,5158004.365,297155.258,1972.604987,6.618,xs,XS01,601.25,1972.604987
PT14,5158004.466,297155.827,1972.611549,7.196,xs,XS01,601.252,1972.611549
PT15,5158004.431,297156.095,1972.700131,7.466,xs,XS01,601.279,1972.700131
PT16,5158004.556,297156.542,1972.883858,7.931,xs,XS01,601.335,1972.883858
PT17,5158004.764,297157.441,1973.143045,8.853,xs,XS01,601.414,1973.143045
PT18,5158004.708,297158.097,1973.00853,9.512,xs,XS01,601.373,1973.00853
PT19,5158004.76,297158.791,1973.208661,10.208,xs,XS01,601.434,1973.208661
PT20,5158004.868,297159.272,1973.290682,10.701,xs,XS01,601.459,1973.290682
PT21,5158004.965,297159.586,1973.763123,11.029,WSE,XS01,601.603,1973.763123
PT22,5158005.106,297160.446,1973.969816,11.901,RB,XS01,601.666,1973.969816
PT23,5158005.415,297161.102,1974.347113,12.626,RB,XS01,601.781,1974.347113
PT24,5158005.557,297162.691,1974.72769,14.221,RB,XS01,601.897,1974.72769
PT25,5158005.467,297162.998,1975.285433,14.541,RB,XS01,602.067,1975.285433
PT26,5158005.688,297164.21,1975.705381,15.773,RB,XS01,602.195,1975.705381
PT27,5158006.021,297165.456,1975.649606,17.063,RB,XS01,602.178,1975.649606
PT28,5158006.381,297166.47,1975.177165,18.139,RB,XS01,602.034,1975.177165
PT29,5158006.685,297168.235,1974.60958,19.93,RB,XS01,601.861,1974.60958
PT30,5158007.045,297169.777,1974.822835,21.513,RB,XS01,601.926,1974.822835
PT31,5158006.899,297170.617,1977.03084,22.366,RB,XS01,602.599,1977.03084
PT32,5158006.914,297171.389,1977.814961,23.138,RB,XS01,602.838,1977.814961
PT33,5158007.019,297171.76,1979.635827,23.524,RB,XS01,603.393,1979.635827
PT34,5158007.001,297173.323,1979.940945,25.087,RB,XS01,603.486,1979.940945
PT35,5158007.704,297176.97,1979.504593,28.801,RB,XS01,603.353,1979.504593
PT36,5158007.933,297178.746,1980.177165,30.592,RB,XS01,603.558,1980.177165
PT37,5158007.819,297180.223,1981.781496,32.073,RB,XS01,604.047,1981.781496
PT38,5158006.947,297183.513,1982.821522,35.477,RB,XS01,604.364,1982.821522
PT39,5158006.377,297186.189,1983.697507,38.213,RB,XS01,604.631,1983.697507
PT40,5158006.141,297187.385,1985.288714,39.432,RB,XS01,605.116,1985.288714
PT41,5158006.496,297188.667,1987.69685,40.762,RB,XS01,605.85,1987.69685
PT42,5158005.184,297194.221,1988.379265,46.469,RB,XS01,606.058,1988.379265
PT43,5157983.92,297150.744,1984.274934,0,LB,XS02,604.807,1984.274934
PT44,5157982.685,297153.429,1984.49147,2.955,LB,XS02,604.873,1984.49147
PT45,5157981.792,297155.485,1984.563648,5.197,LB,XS02,604.895,1984.563648
PT46,5157981.736,297155.829,1983.733596,5.545,LB,XS02,604.642,1983.733596
PT47,5157981.252,297156.603,1982.837927,6.458,LB,XS02,604.369,1982.837927
PT48,5157980.493,297157.821,1981.410761,7.893,LB,XS02,603.934,1981.410761
PT49,5157979.496,297159.766,1980.255906,10.079,LB,XS02,603.582,1980.255906
PT50,5157978.849,297161.623,1979.21916,12.046,LB,XS02,603.266,1979.21916
PT51,5157977.799,297163.83,1977.857612,14.49,LB,XS02,602.851,1977.857612
PT52,5157977.038,297165.013,1977.454068,15.896,LB,XS02,602.728,1977.454068
PT53,5157976.028,297166.765,1977.782152,17.919,LB,XS02,602.828,1977.782152
PT54,5157975.612,297167.703,1978.316929,18.945,LB,XS02,602.991,1978.316929
PT55,5157975.197,297168.627,1978.248031,19.958,LB,XS02,602.97,1978.248031
PT56,5157975.155,297169.237,1977.867454,20.569,LB,XS02,602.854,1977.867454
PT57,5157975.11,297170.193,1976.906168,21.526,LB,XS02,602.561,1976.906168
PT58,5157974.847,297171.527,1976.564961,22.886,LB,XS02,602.457,1976.564961
PT59,5157974.364,297173.02,1976.227034,24.455,LB,XS02,602.354,1976.227034
